station_id,event_id,start_date,end_date,duration,severity,intensity,peak_SSI,severity_hm3
9004,35,1986-06-18,1986-08-13,57,5.9416,0.1042,-1.7975,2.2648
9004,36,1986-09-21,1986-11-15,56,12.7268,0.2273,-2.1614,4.1265
9004,37,1987-03-20,1987-03-24,5,0.0415,0.0083,-1.3022,0.0
9004,38,1987-05-02,1987-06-13,43,17.1874,0.3997,-3.1525,6.777
9004,39,1987-06-27,1987-07-04,8,9.5285,1.1911,-3.1313,1.8446
9004,40,1987-09-16,1987-09-23,8,1.794,0.2243,-1.8179,0.6278
9004,41,1988-11-01,1988-12-02,32,8.2837,0.2589,-1.8555,4.0548
9004,42,1988-12-17,1989-02-25,71,40.5048,0.5705,-2.5434,22.7555
9004,43,1989-03-12,1989-04-03,23,5.0195,0.2182,-1.866,4.822
9004,44,1989-05-15,1989-07-06,53,32.388,0.6111,-3.1808,9.1568
9004,45,1989-08-28,1989-11-05,70,22.8704,0.3267,-2.4376,8.2077
9004,46,1989-11-17,1990-04-05,140,84.6924,0.6049,-2.7734,58.6173
9004,47,1990-08-09,1990-08-23,15,1.3371,0.0891,-1.7744,0.5685
9004,48,1990-09-21,1990-10-28,38,16.2756,0.4283,-2.0657,5.0311
9004,49,1991-01-31,1991-02-09,10,1.6683,0.1668,-1.6076,0.8968
9004,50,1991-08-21,1991-08-30,10,0.1255,0.0126,-1.3642,0.1642
9004,51,1992-01-06,1992-03-23,78,23.56,0.3021,-2.1046,19.4089
9004,52,1993-01-14,1993-03-04,50,18.5739,0.3715,-2.2049,12.4407
9004,53,1993-03-29,1993-04-14,17,2.9649,0.1744,-1.6806,2.0287
9004,54,1994-03-26,1994-04-02,8,0.4254,0.0532,-1.7043,0.3974
9004,55,1994-06-14,1994-06-18,5,2.2368,0.4474,-1.9549,0.5173
9004,56,1994-07-03,1994-07-09,7,2.6866,0.3838,-1.8441,0.6644
9004,57,1994-12-03,1994-12-20,18,5.4933,0.3052,-1.7793,2.542
9004,58,1995-04-08,1995-04-22,15,4.1235,0.2749,-1.8752,2.4002
9004,59,1995-05-06,1995-05-12,7,3.1912,0.4559,-2.4203,1.4679
9004,60,1995-05-27,1995-06-20,25,5.9199,0.2368,-1.9659,2.0454
9004,61,1995-07-06,1995-07-11,6,1.8016,0.3003,-1.7122,0.4484
9004,62,1995-10-27,1995-12-03,38,11.2091,0.295,-1.9739,4.4099
9004,63,1995-12-15,1995-12-24,10,0.8437,0.0844,-1.5282,0.1037
9004,64,1996-06-09,1996-06-17,9,0.9607,0.1067,-1.7657,0.2655
9004,65,1996-09-06,1996-09-12,7,1.0059,0.1437,-1.487,0.5367
9004,66,1997-02-28,1997-04-27,59,28.5611,0.4841,-2.2445,23.7401
9004,67,1998-02-21,1998-03-09,17,0.9345,0.055,-1.4793,0.8873
9004,68,1998-03-27,1998-04-07,12,2.6163,0.218,-1.6397,1.9846
9004,69,1999-07-01,1999-07-05,5,0.8994,0.1799,-1.5763,0.2549
9004,70,2000-01-14,2000-02-14,32,10.5471,0.3296,-1.8256,6.1128
9004,71,2000-03-01,2000-03-27,27,11.4084,0.4225,-2.1109,11.0549
9004,72,2000-05-26,2000-06-01,7,0.2449,0.035,-1.3662,0.4144
9004,73,2000-06-20,2000-06-24,5,0.1638,0.0328,-1.3425,0.1608
9004,74,2001-02-23,2001-02-27,5,0.7989,0.1598,-1.5485,0.362
9004,75,2001-05-21,2001-06-23,34,8.9055,0.2619,-2.081,3.5219
9004,76,2001-10-28,2001-11-13,17,3.1366,0.1845,-1.6922,0.9971
9004,77,2001-11-27,2002-02-14,80,42.0764,0.526,-2.5861,21.4601
9004,78,2002-03-22,2002-04-03,13,7.3753,0.5673,-2.0935,6.3824
9004,79,2002-04-20,2002-05-04,15,15.0171,1.0011,-2.9237,6.8144
9004,80,2005-06-01,2005-07-07,37,10.2947,0.2782,-1.9733,3.3051
9004,81,2006-02-08,2006-02-20,13,3.4107,0.2624,-1.7764,2.389
9004,82,2006-04-13,2006-04-17,5,0.4224,0.0845,-1.386,0.0
9004,83,2006-12-26,2007-01-23,29,7.2551,0.2502,-1.6859,2.4356
9004,84,2007-11-04,2007-12-04,31,3.3408,0.1078,-1.7064,1.3781
9004,85,2007-12-26,2008-01-03,9,2.4477,0.272,-1.7022,1.1059
9004,86,2008-02-14,2008-03-04,20,8.5725,0.4286,-1.9399,7.8348
9004,87,2009-04-02,2009-04-07,6,0.9699,0.1616,-1.5521,0.6117
9004,88,2010-04-16,2010-04-26,11,0.6931,0.063,-1.4695,0.095
9004,89,2011-01-23,2011-02-21,30,4.2979,0.1433,-1.6798,2.7786
9004,90,2011-04-11,2011-04-24,14,1.5378,0.1098,-1.4937,0.362
9004,91,2012-03-16,2012-04-06,22,4.0854,0.1857,-1.7621,3.3126
9004,92,2014-05-11,2014-05-20,10,1.6405,0.1641,-1.5223,1.1648
9004,93,2015-04-18,2015-05-11,24,3.4997,0.1458,-1.697,1.7176
9004,94,2015-12-10,2016-01-03,25,9.1237,0.3649,-1.8415,4.4975
9004,95,2016-05-04,2016-05-08,5,0.9676,0.1935,-1.5305,0.4743
9004,96,2016-12-08,2017-01-10,34,14.1336,0.4157,-1.9852,7.3245
9004,97,2017-04-13,2017-05-24,42,22.9873,0.5473,-2.22,13.0898
9004,98,2017-07-20,2017-09-10,53,7.4724,0.141,-1.8703,3.6167
9004,99,2017-09-25,2017-11-05,42,25.8277,0.6149,-2.349,7.8468
9004,100,2018-12-29,2019-01-20,23,11.4663,0.4985,-2.182,5.6687
9004,101,2019-03-04,2019-04-09,37,8.467,0.2288,-1.9467,7.7665
9004,102,2019-04-24,2019-05-16,23,4.7648,0.2072,-1.8921,2.4937
9004,103,2019-06-25,2019-08-23,60,12.9705,0.2162,-1.8796,4.4687
9004,104,2020-02-15,2020-02-27,13,4.1673,0.3206,-1.9328,3.5787
9004,105,2020-03-29,2020-04-18,21,3.3671,0.1603,-1.7459,1.7487
9004,106,2020-05-22,2020-06-03,13,9.7955,0.7535,-2.3391,3.6112
9004,107,2020-06-21,2020-08-08,49,40.0606,0.8176,-2.5041,9.7011
9004,108,2020-08-28,2020-09-17,21,0.5479,0.0261,-1.3869,0.5924
9004,109,2020-11-23,2020-12-04,12,5.6944,0.4745,-1.9735,3.1864
9005,1,1982-05-01,1982-05-18,18,0.9064,0.0504,-1.3849,0.5691
9005,2,1983-09-13,1983-09-18,6,0.9552,0.1592,-1.4777,0.2015
9005,3,1986-07-30,1986-08-22,24,5.2495,0.2187,-1.682,0.9553
9005,4,1987-07-11,1987-07-21,11,0.2036,0.0185,-1.4147,0.07
9005,5,1987-08-20,1987-10-09,51,12.8147,0.2513,-2.0389,3.0667
9005,6,1989-01-15,1989-02-25,42,4.4395,0.1057,-1.5286,4.8515
9005,7,1989-03-16,1989-04-01,17,0.8611,0.0507,-1.5316,0.9062
