station_id,event_id,duration,severity,intensity,propagated
9064,18,45,5.8917,0.1309,True
9021,56,27,5.5442,0.2053,False
9096,7,17,0.3699,0.0218,True
9074,68,17,1.1148,0.0656,False
9065,19,15,5.1955,0.3464,False
9002,79,209,176.3212,0.8436,True
9003,44,14,1.4285,0.102,True
9063,58,26,7.096,0.2729,True
9150,63,47,19.8197,0.4217,True
9079,39,35,9.3795,0.268,True
9038,1,20,1.3731,0.0687,True
9025,68,129,25.6302,0.1987,False
9018,28,33,6.4864,0.1966,True
9124,46,54,29.4362,0.5451,True
9021,33,31,12.0153,0.3876,True
9040,83,15,5.0789,0.3386,False
9118,2,8,4.8605,0.6076,False
9018,64,36,3.0099,0.0836,False
9064,31,26,9.8059,0.3771,True
9011,25,39,19.6841,0.5047,True
9002,56,18,5.0544,0.2808,True
9003,21,13,0.19,0.0146,True
9021,69,122,55.6011,0.4557,True
9074,81,9,0.399,0.0443,False
9079,16,5,0.6953,0.1391,False
9063,71,18,7.5227,0.4179,True
9036,54,7,2.4878,0.3554,True
9142,72,5,0.2993,0.0599,False
9048,28,137,110.2425,0.8047,True
9038,14,51,28.0411,0.5498,True
9079,52,28,6.3645,0.2273,True
9018,41,157,155.0794,0.9878,True
9064,8,32,12.1769,0.3805,False
9021,46,8,0.282,0.0352,False
9074,58,11,0.1681,0.0153,True
9065,9,6,1.1871,0.1979,False
9011,38,140,66.7339,0.4767,True
9002,69,27,13.9167,0.5154,True
9003,34,131,57.514,0.439,True
9063,48,18,5.9555,0.3309,True
9150,53,11,1.5139,0.1376,False
9142,49,20,5.9798,0.299,False
9013,47,52,15.9462,0.3067,True
9036,67,7,0.1328,0.019,False
9048,41,67,7.6796,0.1146,True
9013,83,17,1.7237,0.1014,True
9005,79,27,1.3561,0.0502,True
9120,66,45,25.7452,0.5721,True
9018,18,98,40.0664,0.4088,True
9021,23,15,4.8294,0.322,False
9074,35,19,0.519,0.0273,False
9002,46,30,3.4753,0.1158,True
9063,25,41,17.7561,0.4331,True
9074,71,28,0.9865,0.0352,True
9044,48,25,0.7139,0.0286,False
9150,66,16,4.8616,0.3038,True
9142,62,27,9.8965,0.3665,True
9048,18,14,2.7887,0.1992,True
9120,43,66,9.2231,0.1397,False
9004,97,42,22.9873,0.5473,True
9101,29,75,8.0844,0.1078,True
9018,31,6,0.7866,0.1311,False
9002,23,127,75.9519,0.598,True
9020,77,67,8.9034,0.1329,True
9126,58,18,3.8084,0.2116,True
9078,18,19,1.7291,0.091,False
9003,24,16,8.5802,0.5363,True
9044,25,40,27.2594,0.6815,True
9063,38,135,23.5194,0.1742,True
9150,43,84,35.9267,0.4277,True
9036,21,82,56.0795,0.6839,True
9142,39,31,21.008,0.6777,True
9005,33,158,38.1061,0.2412,True
9120,20,33,6.0075,0.182,True
9065,84,30,7.3778,0.2459,True
9025,48,43,2.8692,0.0667,False
9048,31,129,48.4538,0.3756,True
9005,69,5,0.2013,0.0403,False
9120,56,15,2.0169,0.1345,True
9074,25,93,8.8589,0.0953,True
9093,38,182,59.9983,0.3297,True
9020,54,37,17.2546,0.4663,True
9097,8,10,30.8086,3.0809,False
9002,36,59,28.6566,0.4857,True
9150,20,22,2.0134,0.0915,True
9096,49,80,54.6863,0.6836,True
9078,31,14,4.1678,0.2977,False
9025,25,36,5.6341,0.1565,True
9065,61,33,14.7374,0.4466,True
9044,38,19,10.9045,0.5739,False
9150,56,21,3.6509,0.1739,True
9142,52,136,43.5972,0.3206,True
9050,54,110,17.3668,0.1579,True
9101,19,6,1.7775,0.2962,False
9093,15,21,13.5121,0.6434,True
9002,13,5,0.7443,0.1489,False
9021,26,7,4.1542,0.5935,False
9074,38,30,36.0682,1.2023,True
9020,67,76,29.9924,0.3946,True
9126,48,15,8.8433,0.5896,False
9018,106,15,1.215,0.081,False
9064,73,33,9.3368,0.2829,False
9097,21,89,83.0233,0.9328,False
9044,15,114,85.5827,0.7507,True
9142,29,5,0.8214,0.1643,False
9013,27,23,4.9958,0.2172,False
9005,23,40,2.9007,0.0725,True
9120,10,65,38.3009,0.5892,True
9065,74,8,0.9796,0.1224,True
9004,64,9,0.9607,0.1067,False
9004,100,23,11.4663,0.4985,True
9074,15,11,4.9824,0.4529,False
9063,5,17,14.1318,0.8313,False
9096,39,13,2.2502,0.1731,False
9064,86,5,0.95,0.19,False
9065,51,68,20.4896,0.3013,True
9025,15,13,3.664,0.2818,False
9044,28,21,2.0568,0.0979,False
9013,40,5,1.3666,0.2733,False
9120,23,10,1.0246,0.1025,True
9004,77,80,42.0764,0.526,True
9050,44,40,13.9059,0.3476,True
9002,3,56,35.0754,0.6263,True
9126,38,28,9.4571,0.3378,True
9018,96,26,2.2732,0.0874,True
9064,63,25,5.285,0.2114,True
9150,23,24,23.9595,0.9983,True
9036,1,7,0.7959,0.1137,False
9096,52,49,19.648,0.401,True
