station_id,n_events,mean_severity,pool_gap,min_duration
9004,120,8.0083425,5,5
9005,96,9.568852083333333,5,5
9011,116,8.498483620689656,5,5
9013,177,5.435002824858757,5,5
9018,133,6.938021052631579,5,5
9020,98,8.57634081632653,5,5
9021,115,8.168778260869566,5,5
9025,113,8.477553982300885,5,5
9027,100,9.224393,5,5
9036,120,8.621,5,5
9038,69,15.146327536231885,5,5
9040,104,8.798517307692308,5,5
9044,72,13.412759722222223,5,5
9048,63,16.218476190476192,5,5
9050,65,16.27938307692308,5,5
9063,100,9.567822999999999,5,5
9064,115,8.135586086956522,5,5
9065,98,10.499271428571427,5,5
9074,98,8.205041836734694,5,5
9078,81,12.30707037037037,5,5
9079,91,11.252791208791209,5,5
9093,56,18.004026785714284,5,5
9096,72,9.968819444444444,5,5
9097,54,16.985214814814814,5,5
9101,42,24.023130952380956,5,5
9118,80,13.3461325,5,5
9120,86,12.540508139534884,5,5
9124,108,26.613752777777776,5,5
9126,106,9.022329245283018,5,5
9142,97,9.21578969072165,5,5
9150,84,12.216780952380951,5,5
9002,92,11.08974347826087,5,7
9003,83,11.283881927710842,5,7
9004,95,9.75544,5,7
9005,80,11.36298875,5,7
9011,103,9.413315533980583,5,7
9013,150,6.135845333333333,5,7
9018,104,8.41154326923077,5,7
9020,80,10.1149,5,7
9021,97,9.44500206185567,5,7
9025,95,9.849388421052632,5,7
9027,88,10.3658125,5,7
9036,93,10.679129032258064,5,7
9038,60,17.325965,5,7
9040,89,10.143396629213482,5,7
9044,66,14.582495454545455,5,7
9048,57,17.85150701754386,5,7
9050,55,19.137454545454545,5,7
9063,81,11.526546913580248,5,7
9064,97,9.438150515463917,5,7
9065,86,11.843395348837209,5,7
9074,83,9.530721686746988,5,7
9078,72,13.685973611111113,5,7
9079,84,12.145213095238095,5,7
9093,48,20.892558333333334,5,7
9096,64,11.1404921875,5,7
9097,45,20.12744888888889,5,7
9101,33,30.34007575757576,5,7
9118,73,14.447808219178082,5,7
9120,71,14.961004225352111,5,7
9124,100,28.425891999999997,5,7
9126,85,10.63838588235294,5,7
9142,84,10.465296428571428,5,7
9150,78,13.013666666666667,5,7
9002,74,13.269363513513515,5,10
9003,66,14.008093939393941,5,10
9004,77,11.554376623376623,5,10
9005,62,14.314440322580646,5,10
9011,80,11.605946249999999,5,10
9013,91,8.682614285714285,5,10
9018,82,9.986068292682928,5,10
9020,67,11.859046268656718,5,10
9021,78,11.31948717948718,5,10
9025,79,11.559345569620254,5,10
9027,63,13.959392063492063,5,10
9036,67,13.896776119402984,5,10
9038,52,19.835069230769232,5,10
9040,70,12.308277142857143,5,10
9044,54,17.47037037037037,5,10
9048,50,20.264616,5,10
9050,42,24.61847142857143,5,10
9063,70,12.95323,5,10
9064,74,11.786505405405405,5,10
9065,67,14.676198507462686,5,10
